X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
health,law,year,peopl,unit,energi,tax,busi,senat,court
program,act,nation,say,war,state,year,compani,bill,right
care,bill,speaker,go,iraq,oil,budget,price,amend,presid
educ,state,american,think,presid,nation,billion,trade,will,state
children,requir,serv,get,nation,fund,cut,will,committe,law
school,legisl,famili,want,state,sec,spend,job,hous,constitut
drug,depart,great,one,militari,will,pay,product,vote,judg
provid,feder,servic,know,will,land,money,market,gentleman,case
will,inform,today,will,world,water,presid,american,time,vote
state,provis,work,just,forc,year,fund,worker,chairman,feder
need,provid,honor,now,defens,program,will,industri,member,senat
bill,report,mani,come,secur,area,increas,economi,speaker,american
support,secur,one,make,countri,million,percent,small,legisl,elect
year,protect,day,said,support,project,secur,econom,presid,congress
student,author,state,countri,weapon,develop,govern,countri,rule,justic
help,agenc,live,talk,american,new,american,farm,order,one
fund,enforc,time,thing,govern,bill,million,farmer,work,decis
child,govern,life,time,must,need,social,state,pass,polit
famili,use,member,way,peopl,use,republican,percent,support,will
medic,amend,first,take,troop,gas,famili,consum,colleagu,govern
